feature,importance
has_https,0.4768564166377016
path_length,0.17631154856715714
num_slashes,0.16871902766028943
path_depth,0.06943108862786508
has_www,0.047641876885803805
heuristic_risk_score,0.028357459322728092
legitimate_indian_domain,0.005119460044020583
num_digits,0.004420510820283423
max_token_length,0.003891893061490749
brand_similarity_score,0.001987835692996564
digit_ratio,0.001593768465753794
subdomain_entropy,0.0015432711405482975
domain_entropy,0.0014566017509325783
path_entropy,0.0012632372041891354
subdomain_length,0.0011144275020583446
is_trusted_domain,0.0009710497198136185
letter_ratio,0.0009544818515859089
num_letters,0.0008742011822305148
url_entropy,0.0008553353001661883
url_length,0.0007499836936370102
has_brand_keyword,0.0007083363723180948
longest_word,0.0006243651706179921
indian_phishing_tld,0.000597102158630711
tld_length,0.0005415920531551785
avg_token_length,0.0005157709496356851
special_char_ratio,0.0004930596026588342
token_count,0.00025812391294071876
numeric_token_count,0.00024004853565907472
domain_length,0.00021666390630517844
num_subdomains,0.00021161420770960185
is_trusted_tld,0.00018093445419240377
num_dots,0.00017695553071654888
num_hyphens,0.00015473344215226562
is_suspicious_tld,0.000134474033996304
url_length_gt_75,0.00013023719609859185
suspicious_keyword_count,0.0001262862936538523
domain_digit_count,0.0001252649457637339
file_ext_suspicious,0.00011852627928205721
brand_abuse,0.00010184611409677645
domain_hyphen_count,9.945227196603725e-05
tld_is_country_code,5.492797063901387e-05
path_has_login,4.722830342775043e-05
subdomain_has_hyphen,1.490157421480956e-05
query_length,7.879941967011869e-06
num_hash,4.0767481374784e-06
indian_bank_phishing,1.4317366812923155e-06
url_length_gt_100,4.5944750304886083e-07
num_underscores,2.1096899046734104e-07
path_has_admin,8.271582631905066e-09
indian_bank_keyword,7.988188890593218e-09
domain_has_digits,2.417610165108536e-09
subdomain_has_digits,2.0161136910622406e-09
multiple_subdomains,5.2142305394891856e-11
num_at_signs,0.0
num_uppercase,0.0
num_equals,0.0
num_ampersands,0.0
num_percent,0.0
num_question_marks,0.0
has_repeated_digits,0.0
has_repeated_chars,0.0
port_number,0.0
uses_shortener,0.0
has_port,0.0
has_ip_in_url,0.0
domain_starts_with_digit,0.0
domain_is_ip,0.0
path_has_encoded,0.0
path_has_redirect,0.0
deep_subdomain,0.0
num_encoded_chars,0.0
brand_in_path,0.0
has_double_slash_in_path,0.0
query_has_ip,0.0
query_has_url,0.0
num_query_params,0.0
is_punycode,0.0
has_hex_encoding,0.0
brand_in_subdomain,0.0
excessive_hyphens,0.0
excessive_dots,0.0
has_at_sign,0.0
tld_in_path,0.0
